No,Date,Time,Pond,Line,Position,Water temperature (oC),pH (-),DO saturation (%),DO (mg/L),Electrical conductivity (uS/cm),Total Dissolved Gas (mg/L),Salinity (PSU),Turbidity (NTU),Chlorophyll alpha (mg/L),BOD5 (mg/L),COD (mg/L),TN (mg/L),NH4+ (mg/L),NO2- (mg/L),NO3- (mg/L),TP (mg/L),PO43- (mg/L),Air temperature (oC),Wind (m/s),Rainfall (mm),Solar radiation (W/m2),Flux CO2 (mg.m-2.d-1),Flux CH4 (mg.m-2.d-1),Flux NO2 (mg.m-2.d-1),N2O Dissolved Gas (ug/L),CH4 Dissolved Gas (ug/L),CO2 Dissolved Gas (ug/L),Latitude,Longitude
1,10/09/2018,14:30:00,AP,1,1,17.3,7.13,0,0,510,332,0.024,159,40,33.1,226,16.4,2.95,0.01,0.16,2.71,1.855,15.3,1.3,0,259,144910.7922,88183.02692,-1.518727205,4.944372366,288.9414127,61743.05206,-2.876551,-78.944111
2,10/09/2018,15:46:00,AP,1,2,17,6.7,0,0,516,334,0.24,331,63.42,52.8,734.325,25.4,0.49,0.01,0.233,5.48,9.55,16.2,2.2,0,333,96336.43062,36515.33811,-0.956577098,2.261535377,610.320756,66149.89209,-2.875972,-78.943739
3,10/09/2018,15:02:00,AP,1,3,17,6.88,0,0,515,335,0.24,94.1,18.19,27,26.5,19.8,11.7,0.01,0.324,2.96,3.065,15.9,1.8,0,266,90049.70644,4831.142699,-0.919001973,2.351147671,225.7483993,84257.57956,-2.875422,-78.943385
4,11/09/2018,15:03:00,AP,2,1,18.4,7.28,0,0,527,341,0.25,232,30.39,24.8,233,22,0.196,0.006,0.273,8.27,0.726,19.8,2.7,0,488,117780.6046,7969.019127,-1.797980487,4.482160847,303.8088627,64810.31482,-2.875822,-78.945463
5,11/09/2018,15:55:00,AP,2,2,17.3,6.76,0,0,507,333,0.24,184,39.98,9.8,717,36.5,0.764,0.006,0.226,4.27,0.41,19.8,2.7,0,355,163868.7768,28911.27027,-1.225145313,7.065099217,743.1293056,73511.01465,-2.875201,-78.945131
6,11/09/2018,17:50:00,AP,2,3,17.7,6.74,1.5,0.12,541,357,0.23,126,40.21,84.8,468,22.5,0.26,0.01,0.218,3.29,1.34,16.7,2.7,0,9,122589.2621,7057.824517,-1.283486415,22.21554922,172.9914156,82286.83974,-2.874525,-78.944755
7,11/09/2018,18:19:00,FP,1,1,16.9,6.22,9.2,0.6,570,376,0.027,771,60.22,33.3,161,26.8,1.03,0.006,1.225,4.18,2.49,15.5,2.7,0,0,127470.1689,13538.21653,-1.175489339,0.459221835,203.0790759,63066.37499,-2.875015,-78.942701
8,11/09/2018,18:02:00,FP,1,2,17.85,7.51,239.7,16.59,536,355,0.25,300,110.4,26.5,119,19.65,19,0.006,0.415,2.51,1.76,16.7,2.7,0,9,98967.98684,107767.4191,-0.546886848,0.409441006,401.1378546,56307.38398,-2.872936,-78.940984
9,11/09/2018,17:40:00,FP,1,3,18.8,7.26,210.3,14.57,518,336,0.24,41.9,152.6,24.3,146.5,19.9,19,0.006,0.254,2.52,1.99,16.7,2.7,0,9,7980.674478,4971.281297,-0.229876824,0.19371713,57.7132914,52588.11589,-2.871264,-78.939739
10,12/09/2018,10:25:00,FP,2,1,17.7,6.97,36.2,2.59,499,325,0.24,138,29.4,49.2,399,25,7.51,0.028,0.83,3.71,0.091,19,0.9,0,865,81621.12858,8628.973786,-0.528611241,15.74461255,136.0130301,103628.2236,-2.87369,-78.943972
11,12/09/2018,10:57:00,FP,2,2,20.3,8.04,238.2,16.02,506,330,0.23,65.9,430.2,25.8,97,25.7,17.4,0.01,0.288,2.84,0.087,19.5,2.2,0,860,3949.439188,8691.586447,-0.36575216,0.123968739,106.6514593,43810.37179,-2.871821,-78.942486
12,12/09/2018,11:43:00,FP,2,3,19.8,8.51,230.09,15.37,512,334,0.24,57.9,326.2,31.82,248,25.35,6.83,0.006,0.343,3.275,2.01,19.8,1.3,0,1039,9146.273497,3289.42757,-0.325051034,0.143718036,69.09934578,56377.14686,-2.870107,-78.941456
13,12/09/2018,17:41:00,MP,1,1,17.6,7.14,165.7,11.54,545,352,0.25,7.3,98.19,8.85,189.5,15.2,18,0.007,0.219,2.29,1.37,18.2,1.8,0,39,10067.98944,1757.211543,-0.236198037,0.24978669,104.6759323,58461.27641,-2.870154,-78.93879
14,12/09/2018,17:38:00,MP,1,2,17.9,7.23,172.2,12.13,545,354,0.25,11.1,98.75,9.15,160,15.8,19.4,0.006,0.177,2.795,1.76,18.2,1.8,0,39,10402.29877,1520.416557,-0.209316818,0.242558533,105.8379524,52295.5456,-2.869146,-78.937985
15,12/09/2018,17:26:00,MP,1,3,18.4,8.37,253.4,17.6,522,338,0.24,19.4,120.2,14.1,233.5,12.15,18.5,0.006,0.213,2.125,1.62,18.2,1.8,0,39,592.8665758,1224.197971,-0.181195052,0.301614857,98.92001718,51969.99303,-2.867925,-78.937138
16,12/09/2018,15:13:00,MP,2,1,19.1,7.98,197.5,13.76,533,345,0.25,18.5,51.56,11.35,89,9.7,10.1,0.007,0.222,1.88,1.5,20.4,2.2,0,197,6276.241966,1634.689282,-0.136129467,0.33083881,54.26848591,54996.16315,-2.869211,-78.940552
17,12/09/2018,16:05:00,MP,2,2,18.2,7.41,125.4,8.81,563,367,0.26,13.7,72.49,7.45,113.5,17.3,20.5,0.008,0.184,2.27,1.39,19.5,2.7,0,183,10109.41583,1550.653414,-0.041502567,0.333119536,32.17489507,51743.14612,-2.868409,-78.939887
18,12/09/2018,16:45:00,MP,2,3,17.8,7.23,173.2,11.79,560,363,0.26,16.4,77.02,14.4,155,19.55,20.4,0.006,0.182,2.11,1.82,18.8,2.7,0,89,7589.845555,1435.330573,-0.14027704,0.337435891,62.02625749,59050.5623,-2.86775,-78.939324
